"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Violence-Related Firearm","1999","731","4430143","16.5","16.3610778585975"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Violence-Related Firearm","1999","83","624781","13.28","15.1825201949224"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Violence-Related Firearm","1999","796","5023824","15.84","15.7922403729209"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Violence-Related Firearm","1999","357","2651860","13.46","13.4716103052036"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Violence-Related Firearm","1999","2976","33499204","8.88","9.03234048175848"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Violence-Related Firearm","1999","436","4226018","10.32","10.3710709559069"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Violence-Related Firearm","1999","197","3386401","5.82","5.93163310080609"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Violence-Related Firearm","1999","66","774990","8.52","8.47123970468874"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Violence-Related Firearm","1999","162","570220","28.41","25.5863242417568"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Violence-Related Firearm","1999","1693","15759421","10.74","10.4686208194653"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Violence-Related Firearm","1999","1072","8045966","13.32","13.2546350467767"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Violence-Related Firearm","1999","42","1210300","3.47","3.43035811330169"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Violence-Related Firearm","1999","141","1275675","11.05","11.472865376205"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Violence-Related Firearm","1999","1175","12359023","9.51","9.40318820053989"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Violence-Related Firearm","1999","647","6044972","10.7","10.628407801396"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Violence-Related Firearm","1999","192","2917637","6.58","6.4222071220524"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Violence-Related Firearm","1999","255","2678340","9.52","9.47558370205802"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Violence-Related Firearm","1999","478","4018053","11.9","11.7663518439453"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Violence-Related Firearm","1999","736","4460814","16.5","16.585468542398"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Violence-Related Firearm","1999","108","1266808","8.53","8.26943009182819"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Violence-Related Firearm","1999","651","5254511","12.39","12.6418120910054"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Violence-Related Firearm","1999","191","6317345","3.02","2.99016712660939"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Violence-Related Firearm","1999","1064","9897117","10.75","10.7616017141249"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Violence-Related Firearm","1999","284","4873481","5.83","5.81370275966495"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Violence-Related Firearm","1999","464","2828412","16.4","16.4820958742868"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Violence-Related Firearm","1999","675","5561950","12.14","12.0797308027581"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Violence-Related Firearm","1999","113","897511","12.59","12.3802225984562"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Violence-Related Firearm","1999","138","1704765","8.09","8.15113796865236"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Violence-Related Firearm","1999","367","1934719","18.97","19.4725305606755"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Violence-Related Firearm","1999","71","1222015","5.81","5.8982440071233"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Violence-Related Firearm","1999","353","8359593","4.22","4.22838161211317"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Violence-Related Firearm","1999","277","1808082","15.32","15.6442319942469"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Violence-Related Firearm","1999","987","18882726","5.23","5.16787386942772"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2017","Violence-Related Firearm","1999","1027","7949362","12.92","12.609182416326"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2017","Violence-Related Firearm","1999","46","644259","7.14","7.00533079132971"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2017","Violence-Related Firearm","1999","894","11335457","7.89","7.86631307130569"
